workflow,source_run_id,mutation,expected_code,target_step,observed_codes,diagnostic_count,strictly_detected
research,e2-research-run-001,unauthorised_tool,tool_permission,4,tool_permission,1,True
research,e2-research-run-001,overspend,insufficient_budget,9,insufficient_budget,1,True
research,e2-research-run-001,illegal_handoff,illegal_handoff,6,illegal_handoff,1,True
research,e2-research-run-001,invalid_message,illegal_message,3,illegal_message,1,True
research,e2-research-run-001,payload_policy,payload_policy,6,payload_policy,1,True
research,e2-research-run-001,missing_provenance,missing_provenance,8,missing_provenance,1,True
research,e2-research-run-001,missing_certificate_source,certificate_source,8,certificate_source,1,True
research,e2-research-run-001,unauthorised_certifier,unauthorized_certifier,8,unauthorized_certifier,1,True
research,e2-research-run-001,duplicate_audit,duplicate_audit,7,duplicate_audit,1,True
research,e2-research-run-001,missing_audit,missing_audit,7,missing_audit,1,True
research,e2-research-run-001,memory_overwrite,memory_overwrite,8,memory_overwrite,1,True
research,e2-research-run-001,uncertified_answer,uncertified_claim,7,uncertified_claim,1,True
research,e2-research-run-001,unknown_tool,unknown_tool,4,unknown_tool,1,True
research,e2-research-run-001,unknown_agent,unknown_agent,7,unknown_agent,1,True
resource_controlled,e2-resource_controlled-run-001,unauthorised_tool,tool_permission,5,tool_permission,1,True
resource_controlled,e2-resource_controlled-run-001,overspend,insufficient_budget,9,insufficient_budget,1,True
resource_controlled,e2-resource_controlled-run-001,illegal_handoff,illegal_handoff,7,illegal_handoff,1,True
resource_controlled,e2-resource_controlled-run-001,invalid_message,illegal_message,4,illegal_message,1,True
resource_controlled,e2-resource_controlled-run-001,payload_policy,payload_policy,7,payload_policy,1,True
resource_controlled,e2-resource_controlled-run-001,missing_provenance,missing_provenance,9,missing_provenance,1,True
resource_controlled,e2-resource_controlled-run-001,missing_certificate_source,certificate_source,9,certificate_source,1,True
resource_controlled,e2-resource_controlled-run-001,unauthorised_certifier,unauthorized_certifier,9,unauthorized_certifier,1,True
resource_controlled,e2-resource_controlled-run-001,duplicate_audit,duplicate_audit,8,duplicate_audit,1,True
resource_controlled,e2-resource_controlled-run-001,missing_audit,missing_audit,8,missing_audit,1,True
resource_controlled,e2-resource_controlled-run-001,memory_overwrite,memory_overwrite,9,memory_overwrite,1,True
resource_controlled,e2-resource_controlled-run-001,uncertified_answer,uncertified_claim,8,uncertified_claim,1,True
resource_controlled,e2-resource_controlled-run-001,unknown_tool,unknown_tool,5,unknown_tool,1,True
resource_controlled,e2-resource_controlled-run-001,unknown_agent,unknown_agent,8,unknown_agent,1,True
shared_memory,e2-shared_memory-run-001,unauthorised_tool,tool_permission,4,tool_permission,1,True
shared_memory,e2-shared_memory-run-001,overspend,insufficient_budget,10,insufficient_budget,1,True
shared_memory,e2-shared_memory-run-001,illegal_handoff,illegal_handoff,7,illegal_handoff,1,True
shared_memory,e2-shared_memory-run-001,invalid_message,illegal_message,3,illegal_message,1,True
shared_memory,e2-shared_memory-run-001,payload_policy,payload_policy,7,payload_policy,1,True
shared_memory,e2-shared_memory-run-001,missing_provenance,missing_provenance,9,missing_provenance,1,True
shared_memory,e2-shared_memory-run-001,missing_certificate_source,certificate_source,9,certificate_source,1,True
shared_memory,e2-shared_memory-run-001,unauthorised_certifier,unauthorized_certifier,9,unauthorized_certifier,1,True
shared_memory,e2-shared_memory-run-001,duplicate_audit,duplicate_audit,8,duplicate_audit,1,True
shared_memory,e2-shared_memory-run-001,missing_audit,missing_audit,8,missing_audit,1,True
shared_memory,e2-shared_memory-run-001,memory_overwrite,memory_overwrite,9,memory_overwrite,1,True
shared_memory,e2-shared_memory-run-001,uncertified_answer,uncertified_claim,8,uncertified_claim,1,True
shared_memory,e2-shared_memory-run-001,unknown_tool,unknown_tool,4,unknown_tool,1,True
shared_memory,e2-shared_memory-run-001,unknown_agent,unknown_agent,8,unknown_agent,1,True
